,STATE_NAME,Attacks
0,Alabama,11
1,Alaska,1
2,California,227
3,Connecticut,1
4,Delaware,4
5,Florida,857
6,Georgia,9
7,Guam,1
8,Hawaii,201
9,Johnston Atoll,1
10,Kentucky,1
11,Louisiana,7
12,Maine,1
13,Maryland,3
14,Massachusetts,7
15,Mississippi,3
16,Missouri,1
17,New Jersey,10
18,New Mexico,1
19,New York,5
20,North Carolina,72
21,Oregon,28
22,Palmyra Atoll,2
23,Pennsylvania,1
24,Puerto Rico,8
25,Rhode Island,2
26,South Carolina,100
27,Texas,50
28,US Virgin Islands,4
29,Virginia,13
30,Wake Island,1
31,Washington,1
